id,robot,username,cloud_learner__id
607702,ABii-1000000092a1b7ef,student4-7759,19350
607701,ABii-1000000092a1b7ef,student4-7759,19350
607700,ABii-1000000092a1b7ef,student4-7759,19350
607699,ABii-1000000092a1b7ef,student4-7759,19350
607698,ABii-1000000092a1b7ef,student4-7759,19350
607697,ABii-1000000092a1b7ef,student4-7759,19350
607696,ABii-1000000092a1b7ef,student4-7759,19350
607695,ABii-1000000092a1b7ef,student4-7759,19350
607694,ABii-1000000092a1b7ef,student4-7759,19350
607693,ABii-1000000092a1b7ef,student4-7759,19350
607692,ABii-1000000092a1b7ef,adityabahuguna,35487
606373,ABii-1000000092a1b7ef,klodianakamberi,35488
606372,ABii-1000000092a1b7ef,ericchen,35486
606371,ABii-1000000092a1b7ef,ericchen,35486
606370,ABii-1000000092a1b7ef,ericchen,35486
606369,ABii-1000000092a1b7ef,ericchen,35486
606368,ABii-1000000092a1b7ef,ericchen,35486
606367,ABii-1000000092a1b7ef,ericchen,35486
606366,ABii-1000000092a1b7ef,ericchen,35486
606365,ABii-1000000092a1b7ef,ericchen,35486
606364,ABii-1000000092a1b7ef,ericchen,35486
606363,ABii-1000000092a1b7ef,ericchen,35486
605972,ABii-1000000092a1b7ef,adityabahuguna,35487
605971,ABii-1000000092a1b7ef,adityabahuguna,35487
605970,ABii-1000000092a1b7ef,adityabahuguna,35487
605969,ABii-1000000092a1b7ef,adityabahuguna,35487
605968,ABii-1000000092a1b7ef,adityabahuguna,35487
605967,ABii-1000000092a1b7ef,adityabahuguna,35487
605966,ABii-1000000092a1b7ef,adityabahuguna,35487
605965,ABii-1000000092a1b7ef,adityabahuguna,35487
605964,ABii-1000000092a1b7ef,adityabahuguna,35487
605963,ABii-1000000092a1b7ef,adityabahuguna,35487
605962,ABii-1000000092a1b7ef,adityabahuguna,35487
605961,ABii-1000000092a1b7ef,adityabahuguna,35487
605960,ABii-1000000092a1b7ef,adityabahuguna,35487
605957,ABii-1000000092a1b7ef,klodianakamberi,35488
605956,ABii-1000000092a1b7ef,klodianakamberi,35488
605955,ABii-1000000092a1b7ef,klodianakamberi,35488
605954,ABii-1000000092a1b7ef,klodianakamberi,35488
605953,ABii-1000000092a1b7ef,andrewf,22181
605952,ABii-1000000092a1b7ef,andrewf,22181
605588,ABii-1000000092a1b7ef,andrewf,22181
605587,ABii-1000000092a1b7ef,andrewf,22181
605586,ABii-1000000092a1b7ef,andrewf,22181
605585,ABii-1000000092a1b7ef,andrewf,22181
605584,ABii-1000000092a1b7ef,andrewf,22181
605583,ABii-1000000092a1b7ef,andrewf,22181
605582,ABii-1000000092a1b7ef,andrewf,22181
603421,ABii-1000000092a1b7ef,student1-0256,18724
603420,ABii-1000000092a1b7ef,student1-0256,18724
603419,ABii-1000000092a1b7ef,student3-8960,18726
603418,ABii-1000000092a1b7ef,student3-8960,18726
603417,ABii-1000000092a1b7ef,student3-8960,18726
603416,ABii-1000000092a1b7ef,student3-8960,18726
603415,ABii-1000000092a1b7ef,student3-8960,18726
603414,ABii-1000000092a1b7ef,student1-0256,18724
530207,ABii-1000000092a1b7ef,bryanmbuya,32921
530206,ABii-1000000092a1b7ef,bryanmbuya,32921
530205,ABii-1000000092a1b7ef,bryanmbuya,32921
530204,ABii-1000000092a1b7ef,bryanmbuya,32921
530203,ABii-1000000092a1b7ef,bryanmbuya,32921
530202,ABii-1000000092a1b7ef,bryanmbuya,32921
530201,ABii-1000000092a1b7ef,bryanmbuya,32921
530200,ABii-1000000092a1b7ef,bryanmbuya,32921
530199,ABii-1000000092a1b7ef,bryanmbuya,32921
517617,ABii-1000000092a1b7ef,student1-0256,18724
